"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1177","Попытка залогиниться без логина","","Fri Feb 14 01:58:47 YEKT 2025","passed","Fri Feb 14 01:58:48 YEKT 2025","","courierendpoint.LogInCourierEndpointTest","courierendpoint.LogInCourierEndpointTest","mandatoryOfLoginBodyParameterTest"
"","305","Создание заказа: цвет [BLACK]","","Fri Feb 14 01:58:53 YEKT 2025","passed","Fri Feb 14 01:58:53 YEKT 2025","","orderendpoint.CreateOrderEndpointTest","orderendpoint.CreateOrderEndpointTest","correctOrderCreateTest[Текущий цвет – [Ljava.lang.String;@35f79e6d]"
"","1572","Проверяем получение и корректность структуры списка заказов","","Fri Feb 14 01:58:54 YEKT 2025","passed","Fri Feb 14 01:58:55 YEKT 2025","","orderendpoint.GetOrdersListEndpointTest","orderendpoint.GetOrdersListEndpointTest","getCorrectOrdersListTest"
"","913","Создание курьера с отсутствующим паролем","","Fri Feb 14 01:58:43 YEKT 2025","passed","Fri Feb 14 01:58:44 YEKT 2025","","courierendpoint.CreateCourierEndpointTest","courierendpoint.CreateCourierEndpointTest","mandatoryOfPasswordBodyParameterTest"
"","287","Создание заказа: цвет [GREY]","","Fri Feb 14 01:58:53 YEKT 2025","passed","Fri Feb 14 01:58:53 YEKT 2025","","orderendpoint.CreateOrderEndpointTest","orderendpoint.CreateOrderEndpointTest","correctOrderCreateTest[Текущий цвет – [Ljava.lang.String;@319e02e7]"
"","301","Создание заказа: цвет []","","Fri Feb 14 01:58:52 YEKT 2025","passed","Fri Feb 14 01:58:53 YEKT 2025","","orderendpoint.CreateOrderEndpointTest","orderendpoint.CreateOrderEndpointTest","correctOrderCreateTest[Текущий цвет – [Ljava.lang.String;@4c255e8]"
"","942","Cоздание курьера с отсутствующим именем","","Fri Feb 14 01:58:46 YEKT 2025","passed","Fri Feb 14 01:58:47 YEKT 2025","","courierendpoint.CreateCourierEndpointTest","courierendpoint.CreateCourierEndpointTest","optionalityOfFirstNameBodyParameterTest"
"","1977","Попытка залогиниться в несуществующего курьера","","Fri Feb 14 01:58:49 YEKT 2025","passed","Fri Feb 14 01:58:51 YEKT 2025","","courierendpoint.LogInCourierEndpointTest","courierendpoint.LogInCourierEndpointTest","nonExistentLoginTest"
"","284","Создание заказа: цвет [BLACK, GREY]","","Fri Feb 14 01:58:53 YEKT 2025","passed","Fri Feb 14 01:58:54 YEKT 2025","","orderendpoint.CreateOrderEndpointTest","orderendpoint.CreateOrderEndpointTest","correctOrderCreateTest[Текущий цвет – [Ljava.lang.String;@742ce3ad]"
"","849","Корректное создание курьера","","Fri Feb 14 01:58:45 YEKT 2025","passed","Fri Feb 14 01:58:46 YEKT 2025","","courierendpoint.CreateCourierEndpointTest","courierendpoint.CreateCourierEndpointTest","createCourierTest"
"","1301","Создание курьера с логином-дублем","","Fri Feb 14 01:58:44 YEKT 2025","passed","Fri Feb 14 01:58:45 YEKT 2025","","courierendpoint.CreateCourierEndpointTest","courierendpoint.CreateCourierEndpointTest","unavailabilityOfCreatingTwoIdenticalCourierTest"
"","5548","Cоздание курьера с отсутствующим логином","","Fri Feb 14 01:58:37 YEKT 2025","passed","Fri Feb 14 01:58:43 YEKT 2025","","courierendpoint.CreateCourierEndpointTest","courierendpoint.CreateCourierEndpointTest","mandatoryOfLoginBodyParameterTest"
"","1293","Успешный логин курьера","","Fri Feb 14 01:58:51 YEKT 2025","passed","Fri Feb 14 01:58:52 YEKT 2025","","courierendpoint.LogInCourierEndpointTest","courierendpoint.LogInCourierEndpointTest","correctLoginTest"
"","1182","Попытка залогиниться без пароля","","Fri Feb 14 01:58:48 YEKT 2025","passed","Fri Feb 14 01:58:49 YEKT 2025","","courierendpoint.LogInCourierEndpointTest","courierendpoint.LogInCourierEndpointTest","mandatoryOfPasswordBodyParameterTest"
